,budget,usa_gross_income,worlwide_gross_income
862,,,
863,,,
864,,,
865,,,
866,,,
867,,,
868,$ 407000,,
869,,,
870,,,
871,$ 611722,,
872,,,
873,,,
874,$ 340691,,
875,,,
876,$ 240000,,
877,,,
878,,,
879,,,
880,,,
881,,,
882,,,
883,,,
884,$ 647000,,
885,,,
886,,,
887,,,
888,,,
889,,,
890,,,
891,,,
892,,,
893,,,
894,,,
895,,,
896,$ 529000,,
897,,,
898,,,
899,$ 3950000,,
900,,,
901,,,
902,,,
903,$ 287000,,
904,,,
905,,,
906,$ 1100000,,
907,$ 2000000,,
908,,,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,,,
920,,,
921,,,
922,,,
923,,,
924,,,
925,$ 980000,,$ 1005
926,,,
927,,,
928,,,
929,$ 208000,,
930,,,
931,,,
932,,,
933,,,
934,,,
935,,,
936,$ 726465,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,,,
943,,,
944,,,
945,$ 337000,,
946,,,
947,,,
948,$ 355000,,
949,,,
950,,,
951,,,
952,,,
953,,,
954,,,
955,,,
956,$ 800000,,
957,,,
958,,$ 1000000,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,,,
969,,,$ 2094
970,$ 496000,,
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,$ 423000,,
979,,,
980,$ 450000,,
981,,,
982,,,
983,,,
984,,,
985,,,
986,,,
987,,,
988,,,
989,,,
990,,,
991,,,
992,,,
993,,,
994,,,
995,,,
996,,$ 11000000,
997,,,
998,,,
999,,,
1000,,,
1001,,,
1002,,,
1003,$ 1200000,,
1004,,,
1005,,,
1006,$ 400000,,
1007,,,
1008,,,
1009,,,
1010,,,
1011,,,
1012,,,
1013,,,
1014,,$ 32712,$ 32712
1015,,,
1016,,,
1017,,$ 987540,$ 1277480
1018,,,
1019,,,
1020,,,
1021,$ 400000,,
1022,,,
1023,,,
1024,$ 502000,,
1025,,,
1026,,,
1027,,,
1028,,,
1029,,,
1030,,,$ 2447
1031,,,
1032,,,
1033,,,
1034,,,
1035,,,
1036,,,
1037,$ 243093,,
1038,,,
1039,,,
1040,$ 281000,,
1041,,,
1042,,,
1043,,,
1044,,,
1045,,,
1046,,,
1047,$ 1433000,,
1048,$ 1500000,$ 19181,$ 46008
1049,,,
1050,$ 120000,,
1051,,,
1052,,,
1053,,,
1054,,,
1055,,,
1056,,,
1057,,,
1058,,,
1059,,,
1060,,,
1061,,,
1062,$ 515000,,
1063,,,
1064,$ 394000,,
1065,$ 1000000,,
1066,,,
1067,$ 355000,,$ 85204
1068,$ 66000,,
1069,,,
1070,,,
1071,$ 310000,,
1072,,,
1073,,,
1074,$ 201000,,
1075,,,
1076,$ 140000,,
1077,,,
1078,,,
1079,,,
1080,,,
1081,,,
1082,,,
1083,,,
1084,,,
1085,$ 634000,,
1086,$ 291000,,$ 1626
1087,$ 529000,,
1088,,,
1089,,$ 1526000,
